"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date","foundyear"
"144","Alpental Technologies","Information Technology","Bothell, Washington, United States","Was Acquired","","2012-01-01",6,"Information Technology","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"210","AlgorX, Inc.","Science and Engineering, Information Technology, Data and Analytics, Software, Sales and Marketing","Wilmington, Delaware, United States","Was Acquired","","2016-04-12",3,"Big Data, Artificial Intelligence, Machine Learning, CRM","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",4
"242","Artmachine","Media and Entertainment","Palo Alto, California, United States","Was Acquired","","2000-01-01",NA,"Non Profit, Art","51-100",1,2,"2002-01-02",2500000,"Series B",2500000,7600000,7600000,5,2,"","","","","",-12
"257","AdaptiveAds","Sales and Marketing, Advertising","San Francisco, California, United States","Was Acquired","","2006-01-01",6,"Advertising","11-50",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-6
"273","Answerology","Media and Entertainment, Internet Services","New York, New York, United States","Was Acquired","","2003-01-01",4,"Social Media","1-10",0,1,"2006-01-01",0,"Series A",0,0,0,1,0,"","","","","",-9
"354","Ardent Support Technologies","","Dover, New Hampshire, United States","Was Acquired","","2007-01-01",NA,"","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-5
"485","Actizone","","","Was Acquired","","2015-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"501","BOND","Apps, Commerce and Shopping, Software, Sales and Marketing, Mobile","New York, New York, United States","Was Acquired","","2013-10-08",1,"Apps, Direct Marketing, SaaS, Marketing Automation, E-Commerce, Personalization, Mobile, Professional Services","51-100",3,3,"2015-02-01",0,"Series Unknown",0,1e+06,1e+06,7,0,"","","","","",1
"503","Baby.com.br","Commerce and Shopping","Sao Paulo, Brazil, South America","Was Acquired","","2010-06-01",15,"Baby, E-Commerce, Retail","501-1000",4,2,"2012-03-01",16700000,"Series B",16700000,21100000,21100000,12,2,"","","","","",-2
"514","Brainient","Media and Entertainment, Sales and Marketing, Video, Mobile, Advertising","London, England, United Kingdom","Was Acquired","","2009-01-01",51,"Video, Mobile, Advertising","",1,3,"2012-01-15",1800000,"Series A",1800000,2650000,2650000,11,2,"","","","","",-3
"516","BufferBox","Commerce and Shopping","Kitchener, Ontario, Canada","Was Acquired","","2011-06-01",69,"Shopping, E-Commerce, Marketplace","11-50",3,1,"2012-08-01",1e+06,"Seed",1e+06,1e+06,1e+06,8,0,"","","","","",-1
"517","Bezar","Commerce and Shopping, Design","New York, New York, United States","Was Acquired","2016-02-02","2014-08-01",21,"E-Commerce, Retail, Product Design","1-10",4,1,"2014-11-01",2250000,"Seed",2250000,2250000,2250000,26,0,"","","","","",2
"539","Bubbli","Media and Entertainment, Content and Publishing","United States, North America","Was Acquired","","2011-01-01",13,"Photography, Innovation Management","11-50",2,1,"2011-02-09",2e+06,"Series Unknown",2e+06,2e+06,2e+06,1,1,"","","","","",-1
"550","Bebop","Software","Los Altos, California, United States","Was Acquired","","2012-01-01",7,"Enterprise, Enterprise Software, Business Development","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"552","Blacksumac","Platforms, Hardware, Software, Transportation, Privacy and Security, Mobile","Ottawa, Ontario, Canada","Was Acquired","","2012-08-01",7,"Mobile, Automotive, Hardware, Android, iOS, Security","1-10",1,1,"2013-09-23",3e+05,"Product Crowdfunding",3e+05,3e+05,3e+05,NA,NA,"","","","","",0
"560","Big Data Perspective","Data and Analytics, Software","San Francisco, California, United States","Was Acquired","2016-06-02","2014-04-09",NA,"Analytics, Big Data, Enterprise Software","1-10",1,1,"2014-04-02",650000,"Seed",650000,650000,650000,1,0,"","","","","",2
"567","Bizpora","Travel and Tourism","London, England, United Kingdom","Was Acquired","","2012-01-11",4,"Travel","1-10",2,2,"2013-10-21",0,"Seed",0,84445,84445,4,0,"","","","","",0
"579","Bucket","Travel and Tourism, Media and Entertainment, Events, Software","San Francisco, California, United States","Was Acquired","","",23,"Travel, Developer Tools, Events","1-10",2,1,"2015-12-16",1e+06,"Seed",1e+06,1e+06,1e+06,1,0,"","","","","",NA
"601","Bagcheck","Media and Entertainment, Internet Services","Mountain View, California, United States","Was Acquired","","2010-01-01",17,"Social Media, Internet","1-10",3,1,"2011-08-13",0,"Seed",0,0,0,1,0,"","","","","",-2
"606","Blockstack.io","Software, Financial Services","San Francisco, California, United States","Was Acquired","","2015-01-01",3,"Financial Services, Enterprise Software, Software","1-10",4,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"658","Blockchain Technologies Corp","Software, Financial Services","New York, New York, United States","Was Acquired","","2013-01-01",NA,"Software, Financial Services","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"745","Berkeley Networks","","","Was Acquired","","1996-01-01",NA,"Small and Medium Businesses","",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-16
"762","Blayze","Media and Entertainment, Internet Services","Los Angeles, California, United States","Was Acquired","","2012-01-01",3,"Social Media","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"854","Big Drop PVT LTD.","Software","Gurgaon, Haryana, India","Was Acquired","","2016-01-01",NA,"Software","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",4
"879","Big Cat Entertainment","Media and Entertainment, Video","Ho Chi Minh City, NA - Vietnam, Vietnam","Was Acquired","","2015-01-01",NA,"Digital Entertainment, Video","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"939","Cover","Commerce and Shopping, Food and Beverage, Software, Payments, Financial Services, Mobile","New York, New York, United States","Was Acquired","","2012-01-01",5,"E-Commerce, Restaurants, Mobile Payments","",2,2,"2014-07-10",5500000,"Series A",5500000,7e+06,7e+06,17,3,"","","","","",0
"946","Cozi","Travel and Tourism, Commerce and Shopping, Media and Entertainment, Information Technology, Food and Beverage, Events, Software, Content and Publishing, Mobile","Seattle, Washington, United States","Was Acquired","","2005-03-14",74,"Journalism, Food and Beverage, Scheduling, Mobile, Shopping, Events, Hospitality","11-50",2,6,"2013-01-31",5800000,"Series A",5800000,17916769,20707587,2,0,"","","","","",-7
"947","Commerce Sciences","Commerce and Shopping, Sales and Marketing, Advertising","Palo Alto, California, United States","Was Acquired","","2012-01-01",12,"Personalization, E-Commerce, Advertising","11-50",3,2,"2015-08-27",4e+06,"Seed",4e+06,5800000,5800000,7,0,"","","","","",0
"950","Cloud.com","Hardware, Information Technology, Software, Internet Services","Cupertino, California, United States","Was Acquired","","2008-01-01",204,"IaaS, Cloud Management, Cloud Computing, Enterprise Software, Private Cloud","5001-10000",2,1,"2010-01-01",1.1e+07,"Series B",1.1e+07,1.1e+07,1.1e+07,6,2,"","","","","",-4
"961","Concept.io","Media and Entertainment, Data and Analytics, Software, Content and Publishing, Mobile","Mountain View, California, United States","Was Acquired","","2012-01-01",13,"Content Discovery, Mobile, Personalization, Machine Learning","",1,2,"2013-07-18",5400000,"Series A",5400000,7200000,7200000,8,1,"","","","","",0
"968","Codiscope","Software","Boston, Massachusetts, United States","Was Acquired","","2015-01-01",6,"SaaS, Software, Web Development","11-50",2,1,"2015-02-12",5e+06,"Series Unknown",5e+06,5e+06,5e+06,NA,NA,"","","","","",3
"986","Contrail Systems","Software","Santa Clara, California, United States","Was Acquired","","2012-01-01",17,"Software","11-50",3,1,"2012-07-27",1e+07,"Series A",1e+07,1e+07,1e+07,1,1,"","","","","",0
"988","CudaSign","Hardware, Information Technology, Consumer Electronics, Software, Internet Services, Messaging and Telecommunications","Newport Beach, California, United States","Was Acquired","","2010-02-01",11,"Document Management, Email, Electronics","11-50",1,2,"2012-03-06",2e+06,"Series Unknown",2e+06,2500000,2500000,7,1,"","","","","",-2
"1003","Cache IQ","Hardware, Software","Austin, Texas, United States","Was Acquired","","2010-03-01",NA,"Hardware, Enterprise Software, Software","1-10",1,2,"2012-07-13",3856183,"Seed",3856183,8856183,8856183,NA,NA,"","","","","",-2
"1052","Covercake","Software, Internet Services","San Jose, California, United States","Was Acquired","","2010-01-05",NA,"Ediscovery, Software","1-10",1,1,"2010-04-10",0,"Seed",0,0,0,1,0,"","","","","",-2
"1061","Cronologics Corporation","Hardware, Consumer Electronics, Software","San Mateo, California, United States","Was Acquired","","2014-10-01",NA,"Software, Hardware, Wearables","11-50",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"1064","Cognea","Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services","New York, New York, United States","Was Acquired","","2013-01-01",9,"Information Technology, Developer Tools, Artificial Intelligence, Cloud Computing, Machine Learning","11-50",2,1,"2014-03-07",0,"Seed",0,0,0,3,0,"","","","","",1
"1093","Conductant","Media and Entertainment, Music and Audio","","Was Acquired","","2015-01-01",NA,"Music, Musical Instruments, Audio","1-10",2,1,"2015-11-01",0,"Seed",0,0,0,1,0,"","","","","",3
"1108","ChooChee","Information Technology, Internet Services, Messaging and Telecommunications","Mountain View, California, United States","Was Acquired","","2010-06-01",4,"Messaging","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"1118","Chirpme","Community and Lifestyle, Software, Internet Services","San Francisco, California, United States","Was Acquired","","2011-01-01",NA,"Social Network, Dating, Web Browsers","51-100",1,1,"2011-08-13",0,"Seed",0,0,0,1,0,"","","","","",-1
"1121","Chart.ly","Apps, Software, Financial Services, Lending and Investments","","Was Acquired","","2009-01-01",10,"Apps, Stock Exchanges","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"1133","Campus Venture Network","Education, Internet Services","Tarboro, North Carolina, United States","Was Acquired","","2007-09-15",1,"Web Hosting, SaaS, Education","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-5
"1146","Cloud Party","Hardware, Software","San Francisco, California, United States","Was Acquired","","2011-06-01",6,"3D Technology","1-10",4,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"1160","CÃºram Software","Software","Dublin, Dublin, Ireland","Was Acquired","","1990-01-01",NA,"Software","501-1000",0,2,"2016-06-01",0,"Seed",0,5125849,5125849,1,0,"","","","","",-22
"1161","Cyrus Innovation","Software, Mobile","New York, New York, United States","Was Acquired","","2003-11-11",6,"Software, Consulting, Mobile, Web Development","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-9
"1169","C-Labs SA","Data and Analytics","Chiasso, Ticino, Switzerland","Was Acquired","","2016-01-01",NA,"Test and Measurement","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",4
"1186","Condaptive","Navigation and Mapping, Data and Analytics, Internet Services, Mobile","Arlington, Virginia, United States","Was Acquired","","2010-01-01",4,"Location Based Services, Mobile","1-10",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"1237","Cloudomatic","Software","Miami, Florida, United States","Was Acquired","","2010-03-19",6,"Enterprise Software, SaaS","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"1255","Cogsy","Media and Entertainment, Software","Austin, Texas, United States","Was Acquired","","2012-01-01",4,"Web Development, Software, Content","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"1351","Customer Discovery Ninja","Apps, Software, Mobile","San Francisco, California, United States","Was Acquired","","2014-01-01",NA,"Mobile Apps, Apps","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"1375","cuthrell.com","","Austin, Texas, United States","Was Acquired","","2006-01-01",NA,"Consulting","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-6
"1434","Chesapeake IRB","","Columbia, Maryland, United States","Was Acquired","","1993-01-01",1,"","51-100",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-19
"1447","Construia","Mobile","ErenkÃ¶y, Bilecik, Turkey","Was Acquired","","2008-01-01",NA,"Mobile","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"1460","Carlson Hartsock & Guither","Professional Services, Financial Services","Iowa City, Iowa, United States","Was Acquired","","",NA,"Accounting","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"1550","docTrackr","Information Technology, Data and Analytics, Software, Privacy and Security, Financial Services","Paris, Ile-de-France, France","Was Acquired","","2011-01-01",18,"SaaS, Document Management, Analytics, PaaS, FinTech, Security, Finance, Enterprise Software","11-50",4,3,"2012-10-02",2e+06,"Seed",2e+06,2e+06,2e+06,12,2,"","","","","",-1
"1551","Dun & Bradstreet Credibility Corporation","Data and Analytics, Financial Services, Lending and Investments","Malibu, California, United States","Was Acquired","","2010-07-01",43,"B2B, Big Data, Finance, Credit, Financial Services","251-500",0,1,"2010-07-29",2e+08,"Private Equity",2e+08,2e+08,2e+08,1,0,"","","","","",-2
"1567","doxIQ","Data and Analytics, Software, Sales and Marketing","Palo Alto, California, United States","Was Acquired","","2012-11-01",2,"Analytics, Enterprise Software, Marketing Automation","11-50",2,1,"2013-08-23",240000,"Debt Financing",0,0,240000,1,0,"","","","","",0
"1573","DCL Ventures, Inc.","Internet Services, Mobile","New York, New York, United States","Was Acquired","","2013-03-01",3,"Internet, Mobile","1-10",1,1,"2013-04-13",1e+06,"Seed",1e+06,1e+06,1e+06,NA,NA,"","","","","",1
"1576","DokDok","Information Technology, Software, Internet Services, Messaging and Telecommunications","MontrÃ©al, Quebec, Canada","Was Acquired","","2009-02-01",1,"File Sharing, Email, Collaboration, Software, Document Management","",1,2,"2011-01-01",350000,"Seed",350000,350721,535726,3,0,"","","","","",-3
"1595","DNNresearch","Science and Engineering, Data and Analytics, Software","","Was Acquired","","2012-01-01",NA,"Machine Learning, Image Recognition, Artificial Intelligence","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"1622","Double Labs","Information Technology","Palo Alto, California, United States","Was Acquired","","2013-01-01",NA,"Information Technology","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"1626","Digisfera","","","Was Acquired","","2011-01-01",NA,"","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"1637","Detecq","Software","","Was Acquired","","2015-01-01",NA,"Software","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"1652","Daylight Partnership","Sales and Marketing, Mobile","Hong Kong, Hong Kong Island, Hong Kong","Was Acquired","","2013-09-01",3,"Public Relations, Mobile, Social Media Marketing, Consulting","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"1684","Dibspace","Financial Services","Seattle, Washington, United States","Was Acquired","","2008-10-01",3,"Finance, FinTech","51-100",1,1,"2009-09-01",0,"Seed",0,0,0,1,0,"","","","","",-4
"1707","DeClout","Information Technology","Singapore, Central Region, Singapore","IPO","","2012-01-01",1,"Information Technology","501-1000",0,NA,"",0,"",0,0,0,NA,NA,"SGX","5UZ","","","2012-11-02",0
"1763","Discipline.eu","","Milano, Lombardia, Italy","Was Acquired","","2012-01-01",NA,"","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"1804","doowup","","Bangalore, Karnataka, India","Was Acquired","","2014-01-01",NA,"","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"1831","Emotient","Science and Engineering, Media and Entertainment, Data and Analytics, Software, Video","San Diego, California, United States","Was Acquired","","2012-01-01",191,"Software, Machine Learning, Artificial Intelligence, Video","",5,2,"2014-03-06",6e+06,"Series B",6e+06,6e+06,6e+06,2,1,"","","","","",0
"1843","Exclusively","Commerce and Shopping, Consumer Goods, Design","New York, New York, United States","Was Acquired","","2010-01-01",6,"Shopping, Fashion, Jewelry","51-100",1,2,"2011-05-29",1.6e+07,"Series B",1.6e+07,18800000,18800000,5,4,"","","","","",-2
"1846","Eventifier","Media and Entertainment, Internet Services, Video","Bangalore, Karnataka, India","Was Acquired","","2012-01-01",8,"Content, Video, Social Media","1-10",3,2,"2015-02-11",2e+06,"Series Unknown",2e+06,2500000,2500000,2,0,"","","","","",0
"1854","Evercontact","Information Technology, Software, Sales and Marketing","New York, New York, United States","Was Acquired","","2014-01-01",7,"CRM, SaaS","11-50",3,1,"2015-04-01",770000,"Convertible Note",770000,770000,770000,1,0,"","","","","",2
"1908","EY Society","Information Technology","Bellevue, Washington, United States","Was Acquired","","2008-01-01",NA,"Information Technology, Consulting","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"1917","Elevence Digital Finance","Financial Services","ZÃ¼rich, Zurich, Switzerland","Was Acquired","","2015-01-01",1,"Financial Services, Business Development","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"1927","Enlighten","Media and Entertainment, Internet Services","Chicago, Illinois, United States","Was Acquired","","2014-03-01",2,"Social Media","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"1964","Enerspace Coworking","Real Estate","Chicago, Illinois, United States","Was Acquired","","2012-02-01",NA,"Commercial Real Estate, Real Estate, Coworking","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"1977","EL Passion","Apps, Software","Warsaw, Mazowieckie, Poland","Was Acquired","","2008-01-01",NA,"Web Development, Apps","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"2060","ESSE PR","Sales and Marketing","Santa Monica, California, United States","Was Acquired","","2009-01-01",NA,"Public Relations","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"2132","fitmob","Community and Lifestyle, Sports, Health Care","San Francisco, California, United States","Was Acquired","","2013-06-01",18,"Health Care, Fitness, Communities","11-50",2,4,"2015-02-09",50000,"Seed",50000,14850000,14850000,22,2,"","","","","",1
"2139","FlexMinder","Health Care, Financial Services","Seattle, Washington, United States","Was Acquired","","2011-01-01",12,"Health Care, Finance, FinTech","1-10",3,4,"2014-03-25",1200000,"Series A",1200000,2570000,2570000,7,0,"","","","","",-1
"2140","Flutter","Apps, Software","Palo Alto, California, United States","Was Acquired","","2010-01-01",24,"Apps, Software","1-10",2,1,"2012-06-07",1400000,"Seed",1400000,1400000,1400000,10,0,"","","","","",-2
"2144","Fetchnotes","Apps, Software, Mobile","Cambridge, Massachusetts, United States","Was Acquired","","2011-03-01",25,"Mobile, Collaboration, Apps","11-50",4,4,"2014-01-01",0,"Series Unknown",0,425000,443000,3,0,"","","","","",-1
"2218","Fabrily","Commerce and Shopping, Financial Services, Design","","Was Acquired","","2013-01-01",1,"Retail, Fashion, Crowdfunding","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"2295","Fitwall","Sports","Irvine, California, United States","Was Acquired","","2012-01-01",NA,"Fitness","11-50",0,1,"2014-06-26",0,"Series Unknown",0,0,0,1,0,"","","","","",0
"2344","Famiva","Commerce and Shopping, Internet Services","Fishers, Indiana, United States","Was Acquired","","2007-01-01",NA,"Web Hosting, E-Commerce","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-5
"2410","Fetchh","","","Was Acquired","","2015-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"2414","GroupMe","Media and Entertainment, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","New York, New York, United States","Was Acquired","","2010-05-01",845,"Mobile, Social Media, Messaging","11-50",2,2,"2011-01-04",10600000,"Series B",10600000,11450000,11450000,20,2,"","","","","",-2
"2415","Grid Dynamics","Commerce and Shopping, Software, Internet Services, Mobile","Menlo Park, California, United States","Was Acquired","","2006-01-01",21,"Mobile, E-Commerce Platforms, E-Commerce, Enterprise Software","251-500",1,1,"2015-08-17",1500000,"Series B",1500000,1500000,1500000,2,2,"","","","","",-6
"2425","GetGoing","Travel and Tourism, Community and Lifestyle","San Francisco, California, United States","Was Acquired","","2012-01-01",25,"Travel, Leisure, Tourism","11-50",5,6,"2014-11-01",0,"Convertible Note",0,2500000,2500000,11,0,"","","","","",0
"2433","Guildery","Commerce and Shopping, Real Estate, Design","Los Altos, California, United States","Was Acquired","","2013-10-01",5,"Retail, Home Decor, Interior Design","1-10",2,1,"2015-05-21",2100000,"Seed",2100000,2100000,2100000,5,0,"","","","","",1
"2437","Graphite Systems","Hardware, Consumer Electronics, Software","Mountain View, California, United States","Was Acquired","","2012-01-01",NA,"Computer, Developer Platform, Enterprise Software","11-50",0,1,"2012-05-22",1500000,"Series Unknown",1500000,1500000,1500000,NA,NA,"","","","","",0
"2450","Gigle Networks","Science and Engineering, Hardware, Mobile","Barcelona, Catalonia, Spain","Was Acquired","","2005-01-01",6,"Wireless, Telecommunications, Semiconductor","51-100",1,2,"2007-11-28",2e+07,"Series B",2e+07,3.1e+07,3.1e+07,5,1,"","","","","",-7
"2453","GoodApril","Financial Services","San Francisco, California, United States","Was Acquired","","2012-01-01",9,"Personal Finance, Finance","501-1000",2,1,"2013-05-13",118000,"Seed",118000,118000,118000,2,0,"","","","","",0
"2454","Guardian 8 Holdings","Manufacturing, Software, Privacy and Security","Scottsdale, Arizona, United States","IPO","","2008-01-01",1,"Security, Developer Platform, Manufacturing","11-50",0,3,"2015-06-08",625000,"Convertible Note",625000,1194500,8194500,NA,NA,"OTCMKTS","GRDH","","","2011-10-14",-4
"2469","Glycosan","Biotechnology, Science and Engineering, Health Care","Alameda, California, United States","Was Acquired","","2006-01-01",NA,"Health Diagnostics, Therapeutics, Biotechnology","501-1000",2,2,"2010-05-13",625000,"Series Unknown",625000,950000,950000,NA,NA,"","","","","",-6
"2557","GetViable","Financial Services, Lending and Investments","Melbourne, Victoria, Australia","Was Acquired","","2012-01-11",5,"Incubators","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"2577","Gigabit Optics","Manufacturing, Hardware","Palo Alto, California, United States","Was Acquired","","2000-06-01",NA,"Optical Communication, Manufacturing","",0,2,"2001-10-17",2e+07,"Series B",2e+07,2.6e+07,2.6e+07,6,4,"","","","","",-12
"2656","GSE Envision","Software","Madison, New Jersey, United States","Was Acquired","","1991-01-01",NA,"Software","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-21
"2701","Honest Dollar","Financial Services","Austin, Texas, United States","Was Acquired","","2014-11-21",11,"Financial Services, Business Development, Retirement","11-50",2,1,"2015-10-02",3e+06,"Seed",3e+06,3e+06,3e+06,6,1,"","","","","",2
"2725","helloPay","","Singapore, Central Region, Singapore","Was Acquired","","2014-01-01",NA,"","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"2728","Hello Bar","Media and Entertainment, Software, Education, Video, Content and Publishing","La Mirada, California, United States","Was Acquired","","2010-01-01",7,"E-Learning, Video, Video Streaming","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"2747","Hotspots.io","Media and Entertainment, Data and Analytics, Internet Services","San Francisco, California, United States","Was Acquired","","2010-01-01",1,"Social Media, Analytics","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-2
"2758","Hyperwise","Information Technology, Software, Privacy and Security","Tel Aviv-yafo, Tel Aviv, Israel","Was Acquired","","2014-01-01",3,"Security, Software, Cyber Security","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"2771","H-care","Hardware, Information Technology, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications","Montebelluna, Veneto, Italy","Was Acquired","","2005-01-01",NA,"Software, CRM, Messaging, 3D Technology","11-50",1,1,"2005-04-01",0,"Series Unknown",0,129590,129590,1,0,"","","","","",-7
"2834","Hammer and Tusk","Hardware, Media and Entertainment, Software, Sales and Marketing, Content and Publishing","","Was Acquired","","2015-01-01",NA,"Email Marketing, Virtual Reality, News","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"2919","if(we)","Media and Entertainment, Internet Services","San Francisco, California, United States","Was Acquired","","2004-10-01",31,"Consumer, Internet, Social Media","101-250",2,5,"2012-08-22",1.5e+07,"Series Unknown",1.5e+07,23701975,28701975,6,2,"","","","","",-8
"2928","Impermium","Information Technology, Privacy and Security","Redwood City, California, United States","Was Acquired","","2010-07-01",47,"Service Industry, Security, Cyber Security","11-50",3,3,"2011-11-17",8e+06,"Series A",8e+06,1e+07,1e+07,14,2,"","","","","",-2
"2940","Increo Solutions","Information Technology, Software, Internet Services","Mountain View, California, United States","Was Acquired","","2008-03-01",20,"Cloud Storage, Document Management, File Sharing","11-50",1,1,"2008-05-01",5e+05,"Seed",5e+05,5e+05,5e+05,1,0,"","","","","",-4
"2943","ividence","Information Technology, Sales and Marketing, Internet Services, Messaging and Telecommunications, Advertising","Paris, Ile-de-France, France","Was Acquired","","2008-12-30",3,"Advertising, Email","11-50",1,3,"2012-06-04",4e+06,"Series B",4e+06,9700000,9700000,2,2,"","","","","",-4
